[Wed Jun 27 11:39:07 CEST 2018][INFO] DisplayModes: 49 (Fenster.java:203)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 1: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 2: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 3: Breite: 640, Höhe: 480 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 4: Breite: 720, Höhe: 480 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 5: Breite: 720, Höhe: 480 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 6: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 7: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 8: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 9: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 10: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 11: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 12: Breite: 720, Höhe: 576 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 13: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 14: Breite: 800, Höhe: 600 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 15: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 16: Breite: 1024, Höhe: 768 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 17: Breite: 1152, Höhe: 648 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 18: Breite: 1152, Höhe: 648 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 19: Breite: 1152, Höhe: 648 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 20: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 21: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 22: Breite: 1280, Höhe: 720 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 23: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 24: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 25: Breite: 1280, Höhe: 768 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 26: Breite: 1280, Höhe: 800 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 27: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 28: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 29: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 30: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 31: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 32: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 33: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 34: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 35: Breite: 1600, Höhe: 900 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 36: Breite: 1680, Höhe: 1050 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 37: Breite: 1776, Höhe: 1000 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 38: Breite: 1776, Höhe: 1000 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 39: Breite: 1776, Höhe: 1000 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 40: Breite: 1776, Höhe: 1000 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 41: Breite: 1776, Höhe: 1000 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 42: Breite: 1776, Höhe: 1000 (Fenster.java:206)
[Wed Jun 27 11:39:07 CEST 2018][INFO] 43: Breite: 1920, Höhe: 1080 (Fenster.java:206)
